4895	7978	28257	48368	16346	25747	40339	66377
2692	6135	14937	29721	8966	15437	30994	38838
2288	4198	16572	24937	8534	11306	19057	26947
53	46	54	239	277	1	33	409
4140	5641	11433	14398	18422	22890	20195	32933
128	435	251	1980	1722	1	177	1
285	298	552	1930	1	93	139	321
7920	12091	18598	32723	8382	19724	18458	38850
5781	11008	22386	39309	11644	19587	29460	49168
2663	5950	9847	17334	7288	10135	15042	19665
2857	5619	205789	198677	8900	13196	1000000000	27294
4744	8922	17281	29690	9605	16935	29934	41471
3242	3706	13377	17386	8477	12418	23170	324274
1	1	152	315	119	1	653	48
2892	5589	17128	65522	5452	10889	27591	47202
1	392	351	31	72	1	172	94
4778	9596	20196	50703	17080	27567	37617	129468
3514	4604	15290	27856	18566	25436	32365	55989
2181	231	4854	3447	100	526	1137	68
2019	4603	11964	15224	6786	2283	12390	21221
3226	6389	17650	40479	6761	9578	1000000000	38910
397	24	186	1	243	183	1	1
4164	9825	12724	24809	11511	18883	18718	37806
9637	22490	183181	283795	20307	34574	1000000000	1000000000
205	7	415	135	43	463	342	9
952	350	3958	2863	3909	6657	2041	8634
1707	1244	7631	895	1461	1516	147	3079
485	2906	4669	1000000000	3614	36	4875	5344
211	84	236	908	1	77	464	1
5185	10896	32453	60521	13317	24590	1000000000	55574
3691	6614	18207	29075	6762	14335	22803	40013
40281	83320	218052	236031	86560	239612	197453	181893
1000000000	209	1000000000	18266830	1000000000	1000000000	1000000000	1000000000
6207	10764	19608	25991	1000000000	32234	38616	1000000000
1	817	32	5404	563	1598	499	4316
705	1240	7116	19608	274	2188	2723	5428
1000000000	1000000000	82401	145888	1000000000	1000000000	78865	178523
2958	4505	16371	26152	7555	12546	23829	32201
268	1	59	824	274	14	1736	1
3104	6817	17613	31088	6228	13271	21397	40573
1527	1511	3977	1268	3763	7195	16449	18166
11182	19284	56621	126379	18332	40672	77323	173709
5629	11875	20692	34158	15511	22315	31487	65612
11467	16650	33494	59667	19043	34336	42646	72132
2197	3465	10984	16618	3321	5715	13818	16300
3653	7395	17422	26640	18787	26503	25978	51534
3682	6882	599719	1000000000	7219	11843	341852	220537
3540	6832	11350	19689	5432	9655	19730	26521
1000000000	1000000000	35000	260867	1000000000	1000000000	52243	1000000000
9900	14538	25207	38928	24046	30989	47209	82671
4280	6427	16301	26290	7288	12639	16207	29128
1498	217	1000000000	31391	1000000000	1080	1000000000	183806
22	1000000000	844	544	94	37	1941	48
1140	3165	6146	13119	2482	662	8709	3474
500	255	361	1435	703	64	113	63
3792	9532	14582	26807	9560	17862	26003	40965
1769	238	8858	916	549	380	3250	246
1000000000	1000000000	17289550	1000000000	1000000000	1000000000	3554142	1000000000
112	1	62	77	91	1	80	20
8696	20330	37509	48116	36449	56564	70396	107864
90	200	880	663	186	181	2188	4581
3357	1413	12740	14911	4230	8961	1028	1255
904	1	3020	3445	191	879	28	47
521	335	1512	3610	3751	1140	1300	1751
1000000000	4226	17605	1000000000	7744	1000000000	1000000000	1000000000
2694	4624	20160	26413	11466	13717	19525	33317
1	646	43	47	48	27	804	1
1000000000	1000000000	1000000000	1000000000	1000000000	299806	1000000000	1000000000
3410	6624	28537	45958	7290	14570	28701	51257
1	1926	5625	8106	1517	4034	4015	1743
9229	13064	25037	91519	18070	1000000000	1000000000	232387
